product_id,product_name,category
1,milk,dairy
2,bread,bakery
3,butter,dairy
4,eggs,dairy
5,cheese,dairy
6,yogurt,dairy
7,apple,produce
8,banana,produce
9,orange,produce
10,grape,produce
11,tomato,produce
12,potato,produce
13,onion,produce
14,garlic,produce
15,pepper,produce
16,chicken,meat
17,beef,meat
18,pork,meat
19,rice,grains
20,pasta,grains
21,noodles,grains
22,coffee,beverages
23,tea,beverages
24,juice,beverages
25,soda,beverages
26,water,beverages
27,jam,condiments
28,honey,condiments
29,sauce,condiments
30,vegetables,produce